Start time          	End time            	ID
--------------------	--------------------	--
09-Jun-2008 08:34:04	09-Jun-2008 08:34:04	1
09-Jun-2008 08:34:24	09-Jun-2008 08:41:34	3
09-Jun-2008 08:41:33	09-Jun-2008 08:46:53	4
09-Jun-2008 08:46:54	09-Jun-2008 08:49:12	5
09-Jun-2008 08:49:13	09-Jun-2008 09:06:11	6
09-Jun-2008 09:06:09	09-Jun-2008 09:09:12	2
09-Jun-2008 09:09:21	09-Jun-2008 09:09:38	6
10-Jun-2008 08:25:25	10-Jun-2008 08:25:26	1
10-Jun-2008 08:25:38	10-Jun-2008 08:30:28	3
10-Jun-2008 08:30:26	10-Jun-2008 08:38:15	4
10-Jun-2008 08:38:17	10-Jun-2008 08:49:12	5
10-Jun-2008 08:49:17	10-Jun-2008 09:02:18	6
10-Jun-2008 09:03:42	10-Jun-2008 09:04:27	2
10-Jun-2008 09:04:31	10-Jun-2008 09:04:53	6
11-Jun-2008 08:30:01	11-Jun-2008 08:30:02	1
11-Jun-2008 08:30:15	11-Jun-2008 08:36:23	3
11-Jun-2008 08:36:19	11-Jun-2008 08:43:00	4
11-Jun-2008 08:42:57	11-Jun-2008 08:44:09	5
11-Jun-2008 08:44:07	11-Jun-2008 08:49:29	4
11-Jun-2008 08:49:38	11-Jun-2008 08:54:48	5
11-Jun-2008 08:54:47	11-Jun-2008 09:06:11	6
11-Jun-2008 09:07:42	11-Jun-2008 09:10:22	2
11-Jun-2008 09:10:27	11-Jun-2008 09:11:05	6
12-Jun-2008 08:32:51	12-Jun-2008 08:32:55	1
12-Jun-2008 08:33:19	12-Jun-2008 08:35:39	2
12-Jun-2008 08:35:44	12-Jun-2008 08:41:42	3
12-Jun-2008 08:41:44	12-Jun-2008 08:53:05	4
12-Jun-2008 08:54:34	12-Jun-2008 08:56:58	5
12-Jun-2008 08:57:21	12-Jun-2008 09:11:39	6
13-Jun-2008 08:43:27	13-Jun-2008 08:43:35	1
13-Jun-2008 08:43:38	13-Jun-2008 08:49:29	3
13-Jun-2008 08:49:30	13-Jun-2008 08:54:05	4
13-Jun-2008 08:54:12	13-Jun-2008 09:00:00	5
13-Jun-2008 08:59:57	13-Jun-2008 09:14:32	6
13-Jun-2008 09:14:47	13-Jun-2008 09:15:33	5
13-Jun-2008 09:15:42	13-Jun-2008 09:20:09	2
13-Jun-2008 09:20:14	13-Jun-2008 09:20:26	6
16-Jun-2008 09:10:11	16-Jun-2008 09:10:13	1
16-Jun-2008 09:10:22	16-Jun-2008 09:15:50	3
16-Jun-2008 09:15:52	16-Jun-2008 09:25:55	4
16-Jun-2008 09:25:59	16-Jun-2008 09:29:31	5
16-Jun-2008 09:29:32	16-Jun-2008 09:32:32	2
16-Jun-2008 09:32:35	16-Jun-2008 09:48:40	6
18-Jun-2008 08:36:13	18-Jun-2008 08:36:14	1
18-Jun-2008 08:36:25	18-Jun-2008 08:40:16	3
18-Jun-2008 08:40:15	18-Jun-2008 08:46:10	4
18-Jun-2008 08:46:11	18-Jun-2008 08:52:30	5
18-Jun-2008 08:52:39	18-Jun-2008 09:09:30	6
18-Jun-2008 09:10:22	18-Jun-2008 09:13:40	2
18-Jun-2008 09:13:48	18-Jun-2008 09:13:58	6
19-Jun-2008 08:30:18	19-Jun-2008 08:30:20	1
19-Jun-2008 08:31:04	19-Jun-2008 08:37:06	2
19-Jun-2008 08:37:17	19-Jun-2008 08:41:34	3
19-Jun-2008 08:41:36	19-Jun-2008 08:51:12	4
19-Jun-2008 08:51:14	19-Jun-2008 08:54:31	5
19-Jun-2008 08:54:35	19-Jun-2008 08:54:57	2
19-Jun-2008 08:55:01	19-Jun-2008 09:09:38	6
20-Jun-2008 08:31:08	20-Jun-2008 08:31:12	1
20-Jun-2008 08:31:21	20-Jun-2008 08:34:48	3
20-Jun-2008 08:34:44	20-Jun-2008 08:46:53	4
20-Jun-2008 08:47:00	20-Jun-2008 08:49:55	5
20-Jun-2008 08:50:08	20-Jun-2008 08:54:57	2
20-Jun-2008 08:55:04	20-Jun-2008 09:08:29	6
21-Jun-2008 08:31:08	21-Jun-2008 08:31:12	1
21-Jun-2008 08:31:21	21-Jun-2008 08:34:48	3
21-Jun-2008 08:34:44	21-Jun-2008 08:46:53	4
21-Jun-2008 08:47:00	21-Jun-2008 08:49:55	5
21-Jun-2008 08:50:08	21-Jun-2008 08:54:57	2
21-Jun-2008 08:55:04	21-Jun-2008 09:08:29	6
