Start time          	End time            	ID
--------------------	--------------------	--
21-Jul-2008 09:39:00	21-Jul-2008 09:39:01	1
21-Jul-2008 09:39:08	21-Jul-2008 09:40:45	2
21-Jul-2008 09:40:47	21-Jul-2008 09:44:21	3
21-Jul-2008 09:44:28	21-Jul-2008 09:49:58	4
21-Jul-2008 09:53:58	21-Jul-2008 09:54:51	5
21-Jul-2008 09:55:08	21-Jul-2008 10:10:24	7
21-Jul-2008 10:10:30	21-Jul-2008 10:12:00	5
21-Jul-2008 10:13:29	21-Jul-2008 10:13:52	2
21-Jul-2008 10:13:59	21-Jul-2008 10:14:18	6
22-Jul-2008 08:45:52	22-Jul-2008 08:45:53	1
22-Jul-2008 08:46:01	22-Jul-2008 08:49:20	2
22-Jul-2008 08:49:25	22-Jul-2008 08:52:22	3
22-Jul-2008 08:52:20	22-Jul-2008 08:58:24	4
22-Jul-2008 08:58:31	22-Jul-2008 08:59:34	5
22-Jul-2008 08:59:32	22-Jul-2008 09:08:47	7
22-Jul-2008 09:08:45	22-Jul-2008 09:13:06	6
22-Jul-2008 09:13:13	22-Jul-2008 09:13:58	5
22-Jul-2008 09:14:35	22-Jul-2008 09:15:59	2
22-Jul-2008 09:16:02	22-Jul-2008 09:19:52	6
23-Jul-2008 09:32:42	23-Jul-2008 09:32:49	1
23-Jul-2008 09:32:51	23-Jul-2008 09:34:24	2
23-Jul-2008 09:34:27	23-Jul-2008 09:37:26	3
23-Jul-2008 09:37:28	23-Jul-2008 09:42:28	4
23-Jul-2008 09:42:31	23-Jul-2008 09:42:46	5
23-Jul-2008 09:42:44	23-Jul-2008 09:51:41	7
23-Jul-2008 09:53:46	23-Jul-2008 10:01:03	6
23-Jul-2008 10:01:04	23-Jul-2008 10:03:12	5
23-Jul-2008 10:03:55	23-Jul-2008 10:04:30	2
23-Jul-2008 10:04:38	23-Jul-2008 10:04:56	6
24-Jul-2008 09:50:39	24-Jul-2008 09:50:41	1
24-Jul-2008 09:50:47	24-Jul-2008 09:52:16	2
24-Jul-2008 09:52:24	24-Jul-2008 09:55:26	3
24-Jul-2008 09:55:27	24-Jul-2008 10:01:29	4
24-Jul-2008 10:01:29	24-Jul-2008 10:01:46	5
24-Jul-2008 10:01:45	24-Jul-2008 10:14:52	7
24-Jul-2008 10:14:59	24-Jul-2008 10:22:22	6
24-Jul-2008 10:22:25	24-Jul-2008 10:25:14	5
24-Jul-2008 10:25:14	24-Jul-2008 10:25:58	6
24-Jul-2008 10:26:00	24-Jul-2008 10:26:24	2
24-Jul-2008 10:26:31	24-Jul-2008 10:26:49	6
25-Jul-2008 09:47:20	25-Jul-2008 09:47:22	1
25-Jul-2008 09:47:28	25-Jul-2008 09:48:40	2
25-Jul-2008 09:48:47	25-Jul-2008 09:51:33	3
25-Jul-2008 09:51:34	25-Jul-2008 09:58:19	4
25-Jul-2008 09:58:22	25-Jul-2008 09:58:45	5
25-Jul-2008 09:58:42	25-Jul-2008 10:03:21	7
