Start time          	End time            	ID
--------------------	--------------------	--
10-Jun-2008 09:11:18	10-Jun-2008 09:11:39	1
10-Jun-2008 09:11:42	10-Jun-2008 09:13:06	2
10-Jun-2008 09:13:11	10-Jun-2008 09:27:21	3
10-Jun-2008 09:27:21	10-Jun-2008 09:33:33	4
10-Jun-2008 09:33:33	10-Jun-2008 09:37:43	5
10-Jun-2008 09:37:43	10-Jun-2008 09:47:48	6
10-Jun-2008 09:47:56	10-Jun-2008 09:49:06	5
10-Jun-2008 09:49:11	10-Jun-2008 09:50:15	2
10-Jun-2008 09:50:17	10-Jun-2008 09:50:32	6
11-Jun-2008 09:29:12	11-Jun-2008 09:29:31	1
11-Jun-2008 09:29:32	11-Jun-2008 09:30:40	2
11-Jun-2008 09:37:48	11-Jun-2008 09:43:20	4
11-Jun-2008 09:43:21	11-Jun-2008 09:50:32	5
11-Jun-2008 09:50:41	11-Jun-2008 09:51:15	2
11-Jun-2008 09:51:22	11-Jun-2008 10:09:50	6
12-Jun-2008 09:30:46	12-Jun-2008 09:30:57	1
12-Jun-2008 09:31:20	12-Jun-2008 09:32:06	2
12-Jun-2008 09:32:10	12-Jun-2008 09:39:36	3
12-Jun-2008 09:39:32	12-Jun-2008 09:43:29	4
12-Jun-2008 09:43:29	12-Jun-2008 09:45:56	5
12-Jun-2008 09:46:02	12-Jun-2008 10:10:16	6
13-Jun-2008 09:24:50	13-Jun-2008 09:24:54	1
13-Jun-2008 09:26:16	13-Jun-2008 09:32:32	2
13-Jun-2008 09:32:38	13-Jun-2008 09:46:22	3
13-Jun-2008 09:46:36	13-Jun-2008 10:04:22	4
13-Jun-2008 10:04:26	13-Jun-2008 10:05:31	5
13-Jun-2008 10:05:36	13-Jun-2008 10:06:05	6
16-Jun-2008 09:55:27	16-Jun-2008 09:55:26	1
16-Jun-2008 09:55:47	16-Jun-2008 09:57:18	2
16-Jun-2008 09:57:21	16-Jun-2008 10:05:13	3
16-Jun-2008 10:05:12	16-Jun-2008 10:10:50	4
16-Jun-2008 10:10:52	16-Jun-2008 10:14:09	5
16-Jun-2008 10:14:08	16-Jun-2008 10:34:27	6
17-Jun-2008 09:22:19	17-Jun-2008 09:22:36	1
17-Jun-2008 09:22:40	17-Jun-2008 09:24:20	2
17-Jun-2008 09:24:22	17-Jun-2008 09:29:57	3
17-Jun-2008 09:29:58	17-Jun-2008 09:33:24	4
17-Jun-2008 09:33:24	17-Jun-2008 09:35:42	5
17-Jun-2008 09:35:44	17-Jun-2008 10:04:04	6
18-Jun-2008 09:49:39	18-Jun-2008 09:49:49	1
18-Jun-2008 09:50:10	18-Jun-2008 09:51:41	2
18-Jun-2008 09:51:42	18-Jun-2008 09:59:11	3
18-Jun-2008 09:59:07	18-Jun-2008 10:03:12	4
18-Jun-2008 10:03:16	18-Jun-2008 10:05:57	5
18-Jun-2008 10:06:12	18-Jun-2008 10:28:16	6
18-Jun-2008 10:28:21	18-Jun-2008 10:29:16	2
18-Jun-2008 10:29:14	18-Jun-2008 10:30:00	6
19-Jun-2008 10:08:19	19-Jun-2008 10:08:32	1
19-Jun-2008 10:08:36	19-Jun-2008 10:10:24	2
19-Jun-2008 10:10:24	19-Jun-2008 10:18:20	3
19-Jun-2008 10:18:23	19-Jun-2008 10:20:38	4
19-Jun-2008 10:20:42	19-Jun-2008 10:24:23	5
19-Jun-2008 10:24:38	19-Jun-2008 10:39:47	6
19-Jun-2008 10:39:54	19-Jun-2008 10:42:48	2
19-Jun-2008 10:42:53	19-Jun-2008 10:48:17	6
20-Jun-2008 09:29:58	20-Jun-2008 09:30:14	1
20-Jun-2008 09:30:16	20-Jun-2008 09:35:34	3
20-Jun-2008 09:35:33	20-Jun-2008 09:40:10	4
20-Jun-2008 09:40:13	20-Jun-2008 09:44:38	5
20-Jun-2008 09:44:36	20-Jun-2008 10:02:21	6
20-Jun-2008 10:03:11	20-Jun-2008 10:05:39	2
20-Jun-2008 10:05:43	20-Jun-2008 10:09:33	6
23-Jun-2008 09:24:09	23-Jun-2008 09:24:37	2
23-Jun-2008 09:24:59	23-Jun-2008 09:31:14	3
23-Jun-2008 09:31:13	23-Jun-2008 09:35:34	4
23-Jun-2008 09:35:39	23-Jun-2008 09:38:35	5
23-Jun-2008 09:38:33	23-Jun-2008 09:57:18	6
23-Jun-2008 09:58:17	23-Jun-2008 09:58:45	2
23-Jun-2008 09:59:05	23-Jun-2008 09:59:19	6
