Start time          	End time            	ID
--------------------	--------------------	--
11-Aug-2008 09:17:46	11-Aug-2008 09:18:00	1
11-Aug-2008 09:18:04	11-Aug-2008 09:18:51	2
11-Aug-2008 09:18:56	11-Aug-2008 09:22:53	3
11-Aug-2008 09:23:04	11-Aug-2008 09:31:58	4
11-Aug-2008 09:32:50	11-Aug-2008 09:48:57	7
11-Aug-2008 09:48:55	11-Aug-2008 09:51:15	5
11-Aug-2008 09:51:13	11-Aug-2008 09:54:00	6
12-Aug-2008 09:05:13	12-Aug-2008 09:05:28	1
12-Aug-2008 09:05:31	12-Aug-2008 09:06:20	2
12-Aug-2008 09:06:23	12-Aug-2008 09:09:04	3
12-Aug-2008 09:09:16	12-Aug-2008 09:18:17	4
12-Aug-2008 09:19:56	12-Aug-2008 09:32:58	7
12-Aug-2008 09:33:09	12-Aug-2008 09:34:59	5
12-Aug-2008 09:35:17	12-Aug-2008 09:43:55	6
13-Aug-2008 09:08:24	13-Aug-2008 09:08:38	1
13-Aug-2008 09:08:44	13-Aug-2008 09:09:38	2
13-Aug-2008 09:09:41	13-Aug-2008 09:11:57	3
13-Aug-2008 09:12:11	13-Aug-2008 09:23:11	4
13-Aug-2008 09:23:39	13-Aug-2008 09:31:49	7
13-Aug-2008 09:31:52	13-Aug-2008 09:33:41	5
13-Aug-2008 09:33:48	13-Aug-2008 09:44:12	6
14-Aug-2008 09:13:13	14-Aug-2008 09:13:40	1
14-Aug-2008 09:13:42	14-Aug-2008 09:14:41	2
14-Aug-2008 09:14:42	14-Aug-2008 09:18:00	3
14-Aug-2008 09:18:13	14-Aug-2008 09:28:04	4
14-Aug-2008 09:28:11	14-Aug-2008 09:38:00	7
14-Aug-2008 09:38:01	14-Aug-2008 09:43:37	5
14-Aug-2008 09:43:40	14-Aug-2008 09:46:48	6
15-Aug-2008 10:06:13	15-Aug-2008 10:06:31	2
15-Aug-2008 10:07:06	15-Aug-2008 10:13:26	3
15-Aug-2008 10:13:30	15-Aug-2008 10:19:20	4
15-Aug-2008 10:19:24	15-Aug-2008 10:31:52	7
15-Aug-2008 10:31:56	15-Aug-2008 10:34:45	5
15-Aug-2008 10:34:50	15-Aug-2008 10:46:50	6
